title,summary,is_word_play,Разметка - механизм 1,Разметка - механизм 2,Комментарий,URL,creation_date,article_url
Новый долг лучше старых всех // Нерезиденты перешли к выборочным покупкам ОФЗ,"Иностранные инвесторы резко сократили вложения в российские госбумаги на минувшей неделе. Чистый приток составил менее 20 млрд руб., в два-пять раз меньше, чем в предыдущие недели. Вместе с тем основной спрос пришелся на новые «подсанкционные» выпуски. Международных инвесторов, в первую очередь азиатских, привлекает премия, с которой торгуются новые бумаги.",Да,Трансформация фразеологизмов,,старый друг лучше новых двух,https://ru.wikipedia.org/wiki/Старый_друг_лучше_новых_двух,2021-08-16,
После апоковидуса // Последствия коронавируса все больше тревожат специалистов,"В понедельник Роспотребнадзор официально предупредил об опасности так называемого постковидного синдрома. Ведомство заявило, что треть переболевших не возвращаются к привычному состоянию даже через три месяца после выздоровления. Впрочем, “Ъ” обнаружил пациентов, которые «не пришли в себя» даже год спустя. В Минздраве таким гражданам предлагают пройти углубленную диспансеризацию; ведомство признает, что вопрос постковидной реабилитации «сложный» и требует комплексного подхода с участием различных специалистов. Пациенты жалуются на отсутствие диагноза и просят разработать «стандарт лечения».",Да,Словообразование,,,,2021-08-16,
Умное становится явным // Личные данные участников проекта Алексея Навального обогащаются в сети,"Персональные данные подписчиков проекта «Умное голосование» (УГ) Алексея Навального, попавшие в сеть в июне, становятся все подробнее. В открытом доступе оказались не только ФИО и электронная почта пользователей, но также их адреса и места работы. Эксперты считают, что утечка в первую очередь грозит трудоустройству, особенно для сотрудников госструктур. Уволенным «по политическим мотивам» сотрудникам удается восстановиться только через суд, отмечают юристы. А если регистрация в УГ произошла после признания структур Алексея Навального экстремистскими организациями, проблемы могут оказаться еще серьезнее.",Да,Отсылка к прецедентным текстам,,тайное становится явным,нет,2021-08-16,
Безвоздушманы // Талибы распугали авиаперевозчиков,"Смена власти в Афганистане повлияла на мировое воздушное сообщение, включая российские авиакомпании. «Аэрофлот» будет летать в Индию и Таиланд в обход страны, о поиске альтернативных маршрутов заявили и в грузовой AirBridgeCargo, которая доставляла через Афганистан грузы на Ближний Восток. Эксперты полагают, что изменение маршрутов мало отразится на времени перелета, а дополнительные расходы авиакомпаний составят несколько тысяч долларов на рейс.",Да,Словообразование,,,,2021-08-16,
"Под крылом самолета о чем-то Кабул // Кто бежит, а кто остается в столице Афганистана","Афганистан пережил первые сутки после бегства президента Ашрафа Гани и входа в Кабул сил террористического движения «Талибан». Центром событий оставался пока еще контролируемый иностранными войсками столичный аэропорт, где скопились толпы желающих покинуть страну. Не обошлось без жертв: люди цеплялись за идущие на взлет самолеты и разбивались, упав на бетонную полосу. Другие гибли в давке в аэропорту или были застрелены американскими солдатами. Между тем талибы, как утверждают российские дипломаты, «пока ведут себя прилично»: порядка в стране якобы стало больше, чем было при прежнем «марионеточном правительстве». Однако спешить с признанием «Талибана» законной властью Москва, как и другие мировые столицы, не спешит.",Да,Отсылка к прецедентным текстам,,Под крылом самолета о чём-то поёт Зелёное море тайги,нет,2021-08-17,
Не обнуляются любя // Как Владимир Путин провожал Ангелу Меркель до Бундестага,"20 августа президент России Владимир Путин принял в Кремле канцлера Германии Ангелу Меркель с ее прощальным визитом в Москву перед прощальным визитом в Киев. Специальный корреспондент “Ъ” Андрей Колесников считает, что госпожа канцлер вела себя более открыто, а значит, вызывающе, чем обычно: ей ведь нечего было терять.",Да,Отсылка к прецедентным текстам,,Не отрекаются любя,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5_%D0%BE%D1%82%D1%80%D0%B5%D0%BA%D0%B0%D1%8E%D1%82%D1%81%D1%8F_%D0%BB%D1%8E%D0%B1%D1%8F,2021-08-21,
Поедем в номера // Партии поделили места в избирательном бюллетене на выборах в Госдуму,"В понедельник в Центризбиркоме (ЦИК) прошла жеребьевка по распределению мест партий в избирательном бюллетене на сентябрьских выборах в Госдуму. Первый номер достался КПРФ, в верхнюю часть попали и три другие парламентские партии, компанию которым составили «Новые люди» и «Зеленые». «Яблоко» разместилось в середине списка, а замыкает его Партия пенсионеров. Эксперты считают, что бонусы от первой строчки в бюллетене партиям не гарантированы, но в случае КПРФ как главной оппозиционной силы это может сыграть определенную роль. Хотя главное сейчас для партийцев, по мнению политологов,— грамотно обыграть полученные номера.",Да,Отсылка к прецедентным текстам,,отсылка к 12 стульев,нет,2021-08-17,
Дело о похудении оказалось слишком толстым // Но бывшую помощницу Аркадия Дворковича попросили прочитать его за неделю,"До 23 августа Басманный суд Москвы по ходатайству СКР ограничил срок ознакомления с материалами дела Анастасии Алексеевой, бывшего помощника экс-заместителя председателя правительства России Аркадия Дворковича. По данным следствия, занимая эту должность, госпожа Алексеева получила в 2016 году в виде взяток две дорогостоящие туристические путевки, слетав за чужой счет на отдых в Таиланд и Доминиканскую Республику. Взяткодателями, по материалам дела, выступили руководители двух фармацевтических компаний, добивавшихся от чиновницы невключения их препаратов для похудения в список лекарств, подлежащих предметно-количественному учету. Впрочем, в итоге фармацевтов перевели в разряд свидетелей, прекратив их уголовное преследование.",Да,Оксюморон,,,,2021-08-17,
"Летел, летел по небу «Ил» усталый… // Новейший военный транспортник разбился при подготовке к форуму","Во вторник в районе аэродрома Кубинка разбился новейший, еще не принятый в эксплуатацию военно-транспортный самолет Ил-112, которым управлял Герой России, один из самых опытных летчиков-испытателей Николай Куимов. Погибли все три члена экипажа. Основной версией, скорее всего, станет техническая неисправность — разрушение топливного бака или топливопроводов самолета. Мгновенно охвативший его правое крыло пожар не позволил опытнейшим летчикам удержать машину в воздухе. Разработчики и производители самолета с комментариями не торопятся, предлагая дождаться хотя бы первых выводов экспертов.",Да,Отсылка к прецедентным текстам,,"Летит, летит по небу клин усталый",нет,2021-08-17,
"Плох тот талиб, что не мечтает стать генералом // Как боевики перевоплощаются в чиновников","Афганистан постепенно свыкается с жизнью при талибах. И хотя новая власть пока никак не закрепилась юридически, у нее уже появляются очевидные союзники: Россия, Китай и Пакистан. А вот попытки начать партизанское сопротивление внутри страны вопреки ожиданиям пока выглядят не очень убедительными. Тем не менее основной ареной противостояния может стать труднодоступная провинция Панджшер. Поднять мятеж пытаются бывший вице-президент Амрулла Салех, во вторник объявивший себя и. о. главы государства, а также сын легендарного афганского полевого командира Ахмад Масуд.",Да,Отсылка к прецедентным текстам,,"Плох тот солдат, который не мечтает стать генералом",нет,2021-08-17,
«Яблоко» подвергается усушке и утруске // Партия лишилась очередного кандидата в Госдуму,"Алтайский краевой суд во вторник снял с выборов в Госдуму кандидата от «Яблока» по Барнаульскому одномандатному округу №39 Виктора Рау. Поводом послужила жалоба его оппонента-эсера, который обвинил «яблочника» в поддержке признанных экстремистскими структур политика Алексея Навального. Эксперт считает, что на предвыборных позициях «Яблока» это никак не скажется, поскольку подобные иски воспринимаются как атака на отдельных кандидатов, а не на партию в целом.",Да,Полисемия,,,,2021-08-17,
